Quote,Keyword
"As a kid you run around so fast, the world around you seems to stand still. A summer vacation can stretch on for an eternity. With each birthday we circle back and cross the same point around the sun. We wish each other 'many happy returns.' But soon you feel the circle begin to tighten, and you realize it’s a spiral, and you’re already halfway through...",vacation
Laughter is an instant vacation,vacation
"The Chaits were given everything but a European vacation [by prosecutors] for their testimony and they're just not credible,"" Padowitz said.",vacation
"The vacation house of the Führer. Seeing the Eagles Nest has been on my bucket list for awhile, it did not disappoint.",vacation
"Your vacation depends upon the book that tells you where to go, and it is called your cheque book.",vacation
"Vacation is what we take , when we can't take , what we 've been taking ,any longer.",vacation
"For a while we pondered whether to take a vacation or get a divorce. We decided that a trip to Bermuda is over in two weeks, but a divorce is something you always have.",vacation
"A boss who’s taking that dream vacation may be thinking it’s something that others should aspire to, but where the buck stops is that you don’t want to flaunt it. People don’t need to know the details.",vacation
"A family vacation to an amusement park - or a trip to the grocery store, a football game or school - should not result in children becoming sickened by an almost 100 percent preventable disease, we are fortunate to have an incredibly effective tool that can prevent our children from suffering. That is so rare in medicine.",vacation
"A family vacation to an amusement park – or a trip to the grocery store, a football game or school – should not result in children becoming sickened by an almost 100 percent preventable disease, we are fortunate to have an incredibly effective tool that can prevent our children from suffering. That is so rare in medicine.",vacation
A guy comes back from Afghanistan and he has to fight a battle on vacation on a train in France.,vacation
"A lavish vacation of several weeks will not necessarily bring more happiness than a quick getaway that lasts just a few days. In fact, it may actually bring more happiness in the long run to go on two short vacations, separated by several months, than one long one each year, you'd have two sets of experiences to look forward to and two sets of memories to look back on and relive for years to come.",vacation
"A man can have friends and they can do whatever they want, but I am simply going on vacation and have nothing to do with it.",vacation
"A number of teachers have donated their vacation time off. The support from my school community has been wonderful, it can be isolating. It makes us not feel so alone in the process. It's huge.",vacation
"A vacation frequently means that the family goes away for a rest, accompanied by mother, who sees that the others get it.",vacation
"Absolutely, I would definitely move, it’s not real to me that that would happen. I hope to God it won’t. It wouldn’t be a vacation. I’d be an expatriate.",vacation
"After a vacation from hell, we're good to just be at home.",vacation
"Are you feeling overwhelmed? Do you want to break free from the shackles presented by the rigours of daily life? Do you dream of getting away from it all, going for a vacation, or simply quitting? The solution is not quitting. Abandoning the duties of life will not help you find peace of mind. What you need is to learn to manage all the aspects of your life well. Increase your capability, and you will never feel like quitting again.",vacation
"As summer season begins, we are prepared to ensure tourists safety and enjoyment, above all, I am not concerned so no one should cancel their vacation.",vacation
"Being an actress is like a vacation, business is relentless. People work hard here. It's nice to be around people who are so committed.",vacation
"But the summer vacation itinerary that closely resembles a Super-Tuesday swing is n’t the only reason political watchers think the social network pioneer may try his hand at politics. Mark Zuckerberg also recently hired former Clinton pollster Joel Benenson to work at the Chan Zuckerberg Initiative, a charitable foundation the CEO runs with his wife, which already has former Obama campaign guru David Plouffe on the payroll. You don’t tend to hire pollsters unless you want to know what people are thinking, so my guess is the pollster is helping him understand the American people.",vacation
"During vacation, none of the technology was associated with shorter sleep time, because adolescents were able to sleep in later, however, we found that social media was associated with somewhat longer time to fall asleep, and this might be due to social media being mentally alerting and emotionally engaging, so it's harder for adolescents to wind down quickly afterwards.",vacation
"For each dollar they save, on coupons, special deals, or cheap gas, they earn a star, the one with the most stars at the end of the trip gets to pick the location for the next family vacation.",vacation
"For those planning a summer vacation, now is a great time to plan a trip to one of these popular destinations where hotels are bookable on TripAdvisor for an average of $200 per night from June through August.",vacation
Children's playthings are not sports and should be deemed as their most serious actions.,sports
"May the world know that Colombia is peace, sports and love.",sports
"May the world know that Colombia is peace, sports and love.",sports
Sports serve society by providing vivid examples of excellence.,sports
"Auto racing, bull fighting, and mountain climbing are the only real sports. . . all others are games.",sports
"In sports, it is easier to win a championship than to remain a champion in subsequent seasons. And the same is true in life. Once you reach the top, it is more difficult to stay on top. Because, when you become the best in sports, and in life, everyone expects more from you and they want to take you down.",sports
I cannot think well of a man who sports with any woman's feelings and there may often be a great deal more suffered than a stander-by can judge of.,sports
"There are only 3 sports, Bullfighting, Motor Racing and Mountain climbing. All the rest are games.",sports
"We had an electronically opening glove box, which in a sports car is worse than useless, i don't know who put that in, but I took it out.",sports
Sports do not build character. They reveal it.,sports
"The morning after the KC Royals won the 2015 ALDS vs. the Astros, Rex was on sports talk radio discussing the upcoming ALCS against the Toronto Blue jays. Hudler says, ""The Royals need to drop a Royal blue turd right in the blue jays nest."" The radio hosts were laughing so hard they had to brake to a commercial.",sports
"I am delighted to have you play football. I believe in rough, manly sports. But I do not believe in them if they degenerate into the sole end of any one's existence. I don't want you to sacrifice standing well in your studies to any over-athleticism and I need not tell you that character counts for a great deal more than either intellect or body in winning success in life. Athletic proficiency is a mighty good servant, and like so many other good servants, a mighty bad master.",sports
"It was very sudden, he was in such good health, and he loved sports. It’s sad to see a doctor with 21 years of experience go like that. Yang Weiguang noted that Li Jing had led the hospital during outbreaks of SARS, dengue fever and the avian flu. Li Jing said colleagues will remember Li Jing as a modest and hardworking man. I believe the reason for this tragedy is that hospitals are too often understaffed.",sports
"Civilization is drugs, alcohol, engines of war, prostitution, machines and machine slaves, low wages, bad food, bad taste, prisons, reformatories, lunatic asylums, divorce, perversion, brutal sports, suicides, infanticide, cinema, quackery, demagogy, strikes, lockouts, revolutions, putsches, colonization, electric chairs, guillotines, sabotage, floods, famine, disease, gangsters, money barons, horse racing, fashion shows, poodle dogs, chow dogs, Siamese cats, condoms, peccaries, syphilis, gonorrhea, insanity, neuroses, etc., etc.",sports
